,wid,price,designation,variety,region_1,region_2,province,country,winery,clean,cleaned,encoded
3660,3661,14.0,Kondoli Single Vineyard Mtsvane-Kisi,White Blend,,,Kakheti,Georgia,Marani, blend  two indigenous georgian grapes  wine offers aromas  citrus zest  rose petal   soft   mouth  flavors  apple white peach lemon  rose capped   smooth apricot finish,indigenous georgian petal soft,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3661,3662,40.0,Conde Valdemar Gran Reserva,Tempranillo Blend,Rioja,,Northern Spain,Spain,Bodegas Valdemar,gritty earthy nutty aromas announce  slightly stale wine  comes   little short  terms  purity  fruit  freshness  good mouthfeel   positive  flavors  tomato spice  gritty roasted berry  plum finish toasty peppery  burnt drink now,gritty earthy nutty stale short positive,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
3662,3663,15.0,Francine's Selection Unoaked,Chardonnay,Mendocino County,,California,US,Toad Hollow,bright citrus  greenapple flavors lift  wine   usual butterballs  terms  freshness  lively texture   medium bodied clean  appetizing,bright usual butterball medium bodied,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
3663,3664,45.0,Compassion,Tinta Madeira,California,California Other,California,US,Vermeil, sweet  supple  red dessert wine   light perfume  roses  prunes rich ripe fruit flavors come   full body  soothing wraparound texture  finish  long  sweet ,sweet supple prune rich ripe full sweet,"0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
3664,3665,24.0,Cimarron,Red Blend,Lake County,,California,US,Vigilance,complex flavorful    big  layered wine  aromas like cedar  tobacco  flavors like black cherry  mint  offers  mediumfull body  velvety texture,complex flavorful big layered black,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3665,3666,40.0,Emma,Bonarda,Uco Valley,,Mendoza Province,Argentina,Zuccardi,initial rubbery  oaky  smoky aromas give way  blueberry  plum scents hard tannins  cut  juicy acidity   tastes  blackberry dark plum  bacon persistent harddriving tannins  abrasive   finish  holds onto racy acidity  core berry fruit flavors,initial rubbery oaky smoky blueberry hard juicy dark persistent abrasive,"0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0"
3666,3667,20.0,Reserve,Cabernet Sauvignon,Columbia Valley (WA),Columbia Valley,Washington,US,Snoqualmie, vanilla cranberry cherry  licorice aromas  elegant  light  seem ever  slightly dried  blackberry flavors stretchout   finish  lightly dry tannins backing  ,licorice elegant dry,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0"
3667,3668,50.0,Frederick Estate Grown,Bordeaux-style Red Blend,Walla Walla Valley (WA),Columbia Valley,Washington,US,Spring Valley Vineyard,cabernet sauvignon 80 makes   majority   wine   rest equal parts cabernet franc  merlot aromas  hightoned green herbs spice black cherry  blackberry lead  lively cranberry  cherry flavors  shows  sense  freshness though  times  seems  bit green,equal green black green,"1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3668,3669,22.0,Zephyr Ridge Estate Bottled,Chardonnay,Horse Heaven Hills,Columbia Valley,Washington,US,Swiftwater Cellars,reserved aromas  baked apple cream  spice lead  mediumbodied  tart lemony flavors  stretchout   finish  shows  pleasing sense  balance,pleasing,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3669,3670,22.0,Classic Cuvée,Bordeaux-style Red Blend,Santa Ynez Valley,Central Coast,California,US,Buttonwood,   perfect wine   accessible flavors  somewhat affordable price  pizza night  meatballs cooked red plum strawberry   bit  cracked pepper kick   nose   cabernet francled blend  merlot cabernet sauvignon  malbec  plum hits  palate along  peppery spices tobacco  marjoram  easy   overly simple,perfect accessible affordable red easy simple,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
3670,3671,25.0,Les Grandes Vignes,Chardonnay,Chablis,,Burgundy,France,Domaine Chenevières, domaine  now sold   jeanmarc brocard family    rich wine  yellow fruit  well  crisper citrus    touch  pepper  lifts  fine acidity   ripe apple  peach   end  wine  crisp  clean,rich yellow ripe,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3671,3672,30.0,Riesling 11 Lake Dana Vineyard,Riesling,Finger Lakes,Finger Lakes,New York,US,Fox Run, favorite within fox runs unique geology wine series  exploration  specific vineyard terroir  specific vinification styles  11 lake dana vineyard offers  lovely balance  rustic earth elements   pristine expressions  fruit  flower concentrated tangerine  lemon flavors  honeyed  sweet yet elegantly balanced  tones  black tea blossom  smoked nut  finish lingers   pleasantly astringent note,favorite unique specific specific lovely pristine sweet balanced black astringent,"1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3672,3673,39.0,Les Cloux Premier Cru,Chardonnay,Rully,,Burgundy,France,Olivier Leflaive, wine   côte chalonnaise   lighter style  chardonnay  leflaives rich côte de beaune wines   delicious lightly toasty wine   crisp acidity   strong  refreshing dose  lemon juice  wine  creamy   end    ready  drink  2017,light rich toasty crisp strong,"0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
3673,3674,28.0,YL Rouge,Red Blend,Ile de Beauté,,France Other,France,Yves Leccia, blend  grenache  niellucciu comes  vines     40 years old    big bold ripe  juicy wine bursting  black plum  berry flavors  wine  fruity enough  drink now although   age   least 10 years,old big bold ripe juicy black enough least,"1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
3674,3675,33.0,Small Parcels Rise and Shine,Pinot Noir,,,Central Otago,New Zealand,Kim Crawford,   fairly muscular rendering  central otago pinot noir plum herb espresso  charred oak notes mark  nose  palate   finish shows  gritty tannins drink 20182025,muscular gritty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3675,3676,30.0,Blanc de Blancs Méthode Champenoise,Chardonnay,Finger Lakes,Finger Lakes,New York,US,Atwater,cutting fresh apple lemon  lime reverberate throughout  zesty chardonnay sparkling wine  palate  exceptionally fine  texture   softly mouthfilling mousse  finish  tinged   pleasant swathe  green herbs  lime zest,zesty mouthfilling pleasant green,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3676,3677,20.0,Les Chaniots Premier Cru,Chardonnay,Montagny,,Burgundy,France,Vignerons de Buxy, woodaged wine  rich spicy    stylish combination  acidity  rich yellow  white fruits  acidity cuts   ripe texture  gives  wine  fullbodied character  aftertaste shows  wine   still young    best  2018,rich spicy stylish rich yellow white ripe good,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
3677,3678,20.0,Reserva,Tannat,,,Uruguay,Uruguay,Bouza,grapy berry  plum aromas set   fresh tannic wiry palate popping plum  berry flavors  lively  toasty   tannat   black pepper notes tastes good  spicy   finish drink  2020,tannic wiry black spicy,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
3678,3679,24.0,Oriana,White Blend,Yakima Valley,Columbia Valley,Washington,US,Brian Carter Cellars, unique blend  viognier 50 roussanne 41  riesling  wine offers light notes  peach  pear  palate  full  stonefruit flavors backed  vibrant acidity  piques  interest,unique light full vibrant,"0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0"
3679,3680,47.0,Reserve,Pinot Noir,Finger Lakes,Finger Lakes,New York,US,Damiani,spice toast  savory dried herbs accent rich black cherry   penetrating pinot noir dense   palate  voluptuous  body  forward  fruit yet maintains  cool restraint  minerality  fine penetrating tannins   polished memorable wine,accent rich black dense palate voluptuous cool polished memorable,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
3680,3681,48.0,The Excursion,Syrah,Walla Walla Valley (WA),Columbia Valley,Washington,US,Dumas Station, new release   winery  aromatically intriguing wine conveys blueberry dried herbs flowers  cigar box  palate shows good concentration  intensity   sweet succulent blue fruit flavors  linger   finish  barrel notes  wood gets  little  front  hopefully   integrate   time,intriguing sweet succulent blue linger front,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3681,3682,32.0,Jack Rabbit Flat,Zinfandel,Amador County,Sierra Foothills,California,US,Fiddletown Cellars,   sophisticated  ultrasmooth wine  spicy almost sweet aroma  classy oak leads  rich strawberry  plum flavors  glide lightly   supple texture   just enough tannin  acidity  keep  wine well balanced,sophisticated sweet classy rich supple enough,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3682,3683,65.0,Villa al Cortile,Sangiovese,Brunello di Montalcino,,Tuscany,Italy,Piccini, earthy expression  sangiovese offers aromas  fennel dried hay rose   balsamic note  palate delivers wild cherry raspberry clove savory herb  licorice alongside gripping tannins  firm acidity  still needs  develop drink 20202030,earthy sangiovese balsamic wild savory,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0"
3683,3684,35.0,McClellan Estate Vineyard,Petit Verdot,Walla Walla Valley (WA),Columbia Valley,Washington,US,Seven Hills,coming  2003 plantings   truly just stretching  legs  100 varietal wine offers brooding notes  coffee fig  barrel spices 40 new french  dense  texture  mouthwatering acids  expertly managed tannins revealing espresso flavors   finish,varietal french dense,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0"
3684,3685,45.0,Le Mistral,Rhône-style Red Blend,Monterey County,Central Coast,California,US,Ventana,coming   oddly shaped presumably oldstyle bottle  blend  51 syrah 39 grenache 7 alicante bouschet  3 petite sirah packs  deep rich nose full  blueberry syrup vanilla  nutmeg almost approaching brandy framed   solid tannic structure flavors hover  cola  cherries  hitting  spearmintpowered finish,deep rich full solid tannic,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0"
3685,3686,29.0,StoneTree Vineyard,Zinfandel,Wahluke Slope,Columbia Valley,Washington,US,Two Vintners, hard  ignore  high alcohol listing   wine   well balanced  cohesive    even notice  aromatic  notes  dried  fresh cranberries  raspberries  palate  full bodied  rich  concentrated pure fruit flavors,high cohesive aromatic cranberry full bodied rich pure,"0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
3686,3687,45.0,Charles Heintz Vineyard,Chardonnay,Sonoma Coast,Sonoma,California,US,Zepaltas, wine pushes  limits    commonly thought   california chardonnay  refreshingly brisk  light citrusy quince  razorsharp minerality vibrant  showcases  site well coaxing crystal clarity  complex layers  gingerspecked apple  pear,brisk light vibrant complex,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0"
3687,3688,40.0,Cuvée Elena,Rhône-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Syncline,equal parts mourvèdre  grenache finished  10 syrah  ripe wine offers aromas  dried herbs coffee  candied red fruit  rich  layered  abundant cherry flavors  lead   light squeeze  tannins  hold    fruitfilled finish,equal ripe red rich layered abundant,"0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
3688,3689,30.0,McKinley Springs,Syrah,Horse Heaven Hills,Columbia Valley,Washington,US,Syncline,coming  12yearold plantings   just starting  hit  stride  wine shows brooding notes  blueberry rhubarb herbs  espresso  flavors show intensity  restraint  slightly gritty tannins,yearold gritty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3689,3690,32.0,Star,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Baer, blend  merlot 81 cabernet franc 11  cabernet sauvignon  directly appealing  accents  bakers chocolate vanilla blackberry crushed flowers  raspberries  soft  supple  feel  focused fruit flavors   finish  wont quit,soft focused,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3690,3691,39.0,Ursa,Bordeaux-style Red Blend,Columbia Valley (WA),Columbia Valley,Washington,US,Baer, wine  equal parts cabernet franc  merlot   balance malbec 8  cabernet sauvignon 6 aromas suggest pencil lead vanilla herbs barrel spices   assortment  red  black fruit  coffee  cherry flavors  elegant  style soft  supple  feel   grip  tannins   tart finish  wood often leads  theres plenty  stuffing  ,equal red black elegant soft,"1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0"
3691,3692,26.0,Heritage Selection,Syrah,Paso Robles,Central Coast,California,US,Bianchi,licorice blackberry extract   slatedriven mineral element power  complex nose theres great tension  hearty ripe olallieberry fruit  bitter plum skins   palate resulting  one   winerys best 2011s,complex hearty ripe bitter good,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3692,3693,15.0,Caiden's Vineyards,Pinot Noir,California,California Other,California,US,Block Nine,classy  classic french oak  red cherry aromas combine  raspberry flavors lively acidity  firm textured tannins  make  complete wellbalanced wine    bit  austere  many   peers   taut balance  appetizing texture make   compelling,classy classic complete wellbalanced many compelling,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3693,3694,16.0,Reserve,Merlot,,,Maule Valley,Chile,Finca Patagonia,gritty blackfruit aromas come  notes  bell pepper  green herbs  well  coffee grounds  snappy tough drawing palate delivers peppery blackened spice  herbal berry flavors prior   crisp tight finish  fresh acidity,gritty green well tough prior crisp,"0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3694,3695,16.0,Castiglioni,Red Blend,Chianti,,Tuscany,Italy,Marchesi de' Frescobaldi, blend  sangiovese  merlot  delightful red  fruity aromas  wild berry  plum  easydrinking palate offers black cherry   spicy note  clove alongside polished tannins  made   drunk young  enjoy soon,sangiovese merlot delightful red black spicy polished drunk,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
3695,3696,44.0,Synnove,Petit Verdot,Paso Robles,Central Coast,California,US,Midnight,justplucked blueberry cedar  fermentinggrape aromas show   dusty nose   dark  heavy bottling boysenberry turned earth  coffee beans show   palate   framed  chalky tannins finishing   touch  vanilla,dusty dark heavy chalky,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0"
3696,3697,25.0,Le Cappelle,Red Blend,Toscana,,Tuscany,Italy,Poggio al Chiuso,made  80 sangiovese  20 merlot  opens  subdued aromas suggesting red plum  baking spice  aromas carry    straightforward palate together   hint  hazelnut  easy drinking  fresh acidity  round tannins,sangiovese red straightforward easy,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
3697,3698,,Mania,Red Blend,Toscana,,Tuscany,Italy,Poggio Nicchiaia,made  70 sangiovese 15 merlot  15 cabernet sauvignon  opens  delicate aromas  red berry  baking spice  easydrinking palate delivers mature plum espresso  vanilla enjoy soon,sangiovese delicate mature,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3698,3699,15.0,Capítulo by Odfjell Carignan-Cabernet Sauvignon-Malbec,Red Blend,,,Central Valley,Chile,Odfjell,despite herbaceous aromas  eucalyptus  thyme  choppy grating blend  carignan cabernet sauvignon  malbec offers forward bold plum  currant flavors along  cantmiss herbal notes   aggressive   finish  mild heat  raw tannins,herbaceous choppy bold cantmiss herbal aggressive mild raw,"0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0"
3699,3700,24.0,3,Red Blend,Toscana,,Tuscany,Italy,Poggio Verrano,made  equal parts  cabernet sauvignon merlot  alicante   earthy aromas  blackskinned fruit  game  dense palate delivers prune toast  tobacco alongside gripping rather drying tannins,equal earthy dense prune,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0"
3700,3701,13.0,Pirca,Carmenère,,,Maule Valley,Chile,Viña Marty,spicy berry bath soap  graphite aromas   bit hard  understand somewhat raw  pinched  feel  tastes  spicy plum  tomato   finish peppery notes  hard spice  plum  solid    closing feel,raw hard solid,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3701,3702,24.0,Gran Reserva,Cabernet Sauvignon,,,Maule Valley,Chile,Alcance,berry raw oak  graphite aromas lead   rockhard drying palate  fierce tannins  tastes  oaky salty plum  berry   woody finish  overtly tannic  borderline abrasive,raw palate fierce tannic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
3702,3703,12.0,Special Release Reserva,Carmenère-Syrah,,,Curicó Valley,Chile,Aresti,demanding aromas  coffee grounds tomato sauce herbs  black fruits  normal  carmenère  syrah  choppy aggressive tannins  oaky flavors  herbal plum  berry fruits  tastes somewhat green minty  spicy   finish,black normal choppy aggressive herbal green spicy,"1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0"
3703,3704,27.0,Erletxe,Tempranillo,,,Idaho,US,Bitner,brooding aromas  earth tobacco spice  red fruit lead  plentiful savory tobacco  mesquite flavors  seems  bit dried ,red plentiful,"0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
3704,3705,23.0,Tre,Red Blend,Toscana,,Tuscany,Italy,Brancaia, blend  80 sangiovese   remaining made   cabernet sauvignon  merlot  opens  aromas  blackskinned fruit  espresso  straightforward palate offers black plum  clove alongside smooth tannins enjoy soon,sangiovese merlot straightforward black smooth,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
3705,3706,13.0,Barrel Select,Syrah,,,Cachapoal Valley,Chile,Santa Ema,oaky aromas  graphite vanilla berry fruits  plum lead   firm clampy highacid palate  oakrich flavors  spiced plum  currant mildly green minty flavors close   drawing tight finish,clampy green close,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0"
3706,3707,13.0,Estate Grown,Chardonnay,,,Idaho,US,Sawtooth,aromas  butter pear  pineapple  followed   somewhat lightweight  still flavorful palate tropical flavors linger   finish  concentration doesnt  seem     provides plenty  interest,lightweight flavorful tropical linger plenty,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3707,3708,18.0,Collective 10 Year Anniversary Lot 1,Cabernet Sauvignon,California,California Other,California,US,Malibu Rocky Oaks,baked red cherry  strawberry scents meet  touches  soy nori  crushed rock   nose   bottling lots  peppery spice shows   palate though blackberrypie flavors  sweeter  expected,baked red sweet,"0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
3708,3709,45.0,The Audition,Chardonnay,Carneros,Napa-Sonoma,California,US,Alyris,butter  honey make   rich hedonistic tone   mildly structured white  soft malleable texture provides creaminess without complexity,rich hedonistic white soft malleable creaminess,"0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1"
3709,3710,23.0,Tre,Red Blend,Toscana,,Tuscany,Italy,Brancaia, merlot  cabernet sauvignon added  80 sangiovese  wine   restrained nose  eventually reveals blackskinned fruit  charred earth  straightforward palate offers berry clove   confectionery note alongside smooth tannins enjoy soon,sangiovese straightforward smooth,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
3710,3711,17.0,Valley Selection Gran Reserva,Sauvignon Blanc,,,Leyda Valley,Chile,Valdivieso,crisp aromas veer towards fresh bell pepper  tangerine peel  feels minerally  also like extracted grape skins mixed citrus  greenherb flavors end   stony lasting feel,crisp,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3711,3712,17.0,Eclipse,Bordeaux-style Red Blend,New York,New York Other,New York,US,Heron Hill,primary flavors  luscious cherry berry  plum reverberate throughout  fleshy red blend sunny acidity   silken rounded mouthfeel lend   juicy  easydrinking demeanor fine  persistent tannins lend structure   vanillaspiced finish drink now  2019,primary fleshy red sunny rounded juicy persistent,"0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0"
3712,3713,19.0,Pian di Nova,Red Blend,Toscana,,Tuscany,Italy,Il Borro, blend  75 syrah  25 sangiovese  easygoing red  aromas  toast espresso chopped mint   whiff  brown baking spice  straightforward palate shows black currant licorice  clove alongside finegrained tannins,sangiovese easygoing red brown black licorice finegrained,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
3713,3714,28.0,Polissena,Sangiovese,Toscana,,Tuscany,Italy,Il Borro,made entirely  sangiovese  easydrinking wine opens  subdued aromas  toast espresso aromatic herb   whiff blue flower  round straightforward palate offers dried wild cherry walnut  star anise alongside supple tannins drink  2018,sangiovese aromatic blue straightforward wild supple,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3714,3715,25.0,Farnito,Chardonnay,Toscana,,Tuscany,Italy,Carpineto,aromas  oak toast   whiff  mature yellow apple skin lead  nose  aromas carry    subdued palate along   note  candied nectarine zest  note  bitter walnut marks  close,mature yellow bitter,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3715,3716,17.0,OSO,Red Blend,Toscana,,Tuscany,Italy,Castello d'Albola, blend  sangiovese merlot  syrah   fruity aromas  darkskinned berry along   whiff   spice  fresh easygoing palate shows blackberry black cherry   hint  ground pepper accompanied  soft tannins enjoy soon,sangiovese black soft,"1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3716,3717,115.0,Cannubi,Nebbiolo,Barolo,,Piedmont,Italy,Michele Chiarlo,subtle aromas  dark berry espresso exotic spice  french oak slowly take shape    firmly structured palate offers sour cherry cranberry coffee  licorice  closegrained tannins provide  assertive backbone drink 20232033,subtle exotic sour cranberry assertive,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3717,3718,36.0,A,Centesimino,Vino da Tavola,,Italy Other,Italy,Villa Venti,made  rare native grape centesimino organically farmed  fermented  amphora   intense alluring aromas  recall darkskinned berry violet rose  dark baking spice  bright juicy palate delivers ripe morello cherry red currant clove  graphite alongside tangy acidity  lithe tannins,rare native intense alluring dark bright juicy ripe morello red tangy lithe,"0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0"
3718,3719,32.0,Estate,Pinot Noir,Carneros,Napa-Sonoma,California,US,Poseidon,   classic concentrated  elegant wine   wonderful black cherry  forest underbrush aromas   ripe fruit flavors full body  polished texture aging  30 new hungarian barrels gave  subtle spicy accent,classic elegant wonderful black ripe full hungarian subtle,"1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0"
3719,3720,25.0,Ried Seeberg,Pinot Blanc,,,Burgenland,Austria,Prieler, faint touch  hazelnut plays   lemon aromas   nose  palate   lingering combination   two plus  zesty phenolic texture   slight  pleasantly bitter edges plus  fruit akin  ripe yellow apple    rounded pinot blanc  potential drink now2022,faint zesty phenolic slight bitter akin ripe yellow potential,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3720,3721,48.0,Northern Blend,Rhône-style Red Blend,Walla Walla Valley (WA),Columbia Valley,Washington,US,Rôtie Cellars, 94 syrah  6 viognier  coming   rocks district  wine brings aromatically expressive aromas  green olive fresh violet sea salt black pepper orange peel  earthy funk  palate  soft  silky  feel showing  appealing sense  balance  restraint  delivers  sense  elegance,expressive green black earthy soft,"1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0"
3721,3722,70.0,Sanford & Benedict Vineyard,Pinot Noir,Sta. Rita Hills,Central Coast,California,US,Sanford,earthy aromas  juniper  forest floor give depth   rusty cherry tart cranberry dried hibiscus  pepperdust scents   nose   bottling   historic vineyard soft  structure  first   delivers  firmer tannic edge   midpalate    delivering vivacious red fruit  pineforest flavors   age  well,earthy rusty historic soft firm tannic vivacious red,"0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0"
3722,3723,19.0,Ried Steinsetz,Grüner Veltliner,,,Kamptal,Austria,Schloss Gobelsburg,fresh lime  ivy hits  first followed   leesy hint   pear   nose  palate comes   salty savoriness  suggests yeasty miso chervil  lovage  lots  white pepper accented   little spritz brightened  fresh lemon notes  makes   spicy elegant  slender wine   light touch  real depth,salty white spicy elegant slender real,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1"
3723,3724,65.0,Les Pierres Qui Decident,Sauvignon Blanc,Russian River Valley,Sonoma,California,US,Shared Notes,inspired   loire valley   rocks decide   bottlings name suggests  wine   light  almost cloudy  color  shows tons  chalk wet wool lime peel  seashore   nose  texture  immensely intriguing presenting flavors  justripe anjou pear cut grass  iodinelike kelp tones   flash  petrol   finish,cloudy wet,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3724,3725,22.0,Ried Gamlitzberg,Sauvignon Blanc,,,Südsteiermark,Austria,Strauss, touch  peach  edged  leafy notes  citrus foliage   touch  elderflower  palate brings   peach  also  zestiness reminiscent  grapefruit peel making   crisp texture full  flavor    rounded midpalate despite  slender body,leafy reminiscent crisp full slender,"0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
3725,3726,30.0,Gorgeous Destiny Ridge Vineyard,Syrah,Horse Heaven Hills,Columbia Valley,Washington,US,W.T. Vintners, coming  block 1  wine  fermented 65 whole cluster  aged  20 months  neutral barrels pretty aromas  spice flower herb cherry  earth give way   full fruitforward palate  shows  dazzling sense  purity  richness  also maintaining  restraint   bit   stylistic departure   winery  terms   richness   still delivers big time,whole aged neutral pretty full fruitforward dazzling stylistic big,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0"
3726,3727,22.0,Horitschoner,Blaufränkisch,,,Mittelburgenland,Austria,Weninger, nose still gives away little  palate also remains tightly curled    wine needs  little time  promises  blossom  another year  bottle age    gamy streak   firm grippy midpalate  well  bright enlivening freshness  finish  lipsmacking   tannins still edgy   juiciness  dark fruit  undeniable drink 20182020,grippy bright juiciness dark undeniable,"0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0"
3727,3728,36.0,Besse Fleur,Riesling,,,Weinland Österreich,Austria,Weszeli, bright tart flesh  earlyseason apples tingles enticingly   nose  palate follows  tart sweetness mimicking  sweet  refreshing crunch   ripe  tart apple  body  delicate   balance  teeters  sweet  tart totally refreshing  finishes  lasting echoes  apple,bright tart sweet refreshing ripe tart delicate sweet refreshing,"0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
3728,3729,48.0,Eight Barrel,Syrah,Santa Ynez Valley,Central Coast,California,US,Zaca Mesa,savory aromas  roasting meat  beef jerky  enhanced  pretty touches  lilacs violet  chocolate syrup   nose   bottling  slightest kiss  strawberry shows   sip followed  riper blackberry purple flowers rosemary  pepper  firm tannic structure ensures ageability,savory slight rosemary tannic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0"
3729,3730,100.0,Milagros,Tempranillo,Ribera del Duero,,Northern Spain,Spain,García Figuero,milagros means miracles   marvel   good  wine  considering  rough  general 2013    ribera del duero region oaky aromas  root beer  blackberry  smooth  heady  wine  intense  big tannins  firm acidity faith   rewarded   line  potent berry  chocolaty oak flavors bottle age  help  soften  drink  20202030,mean rough heady intense big,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3730,3731,52.0,Reserve To Kalon Vineyard,Fumé Blanc,Napa Valley,Napa,California,US,Robert Mondavi,  historic block   famous vineyard long known  roberts block  white  incredibly complex  concentrated  richly woven layers  pear key lime  peach  handful  sémillon  blended  adding extra oomph  flavor  finish balanced  acidity  marked  freshness,historic famous complex key extra balanced,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
3731,3732,45.0,Ysabella Bjork,Chardonnay,Columbia Valley (WA),Columbia Valley,Washington,US,Morell-Peña,aromas  pear lees  tropical fruit lead   rich flavorful palate absolutely loaded  tropicalfruit flavors  show  delightful sense  balance  oak usage 25 new french  judicious allowing  fruit  shine,tropical rich flavorful loaded delightful french judicious,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
