,wid,points,title,description,taster_name,taster_twitter_handle
4071,4072,83,Château Penin 2011 Les Cailloux  (Bordeaux Supérieur),"Hard and extracted, this wine shows little more than tannins. The fruitiness is hard to discern and may never come through.",Roger Voss,@vossroger
4072,4073,83,Anakena 2011 Ona Special Reserve Riesling-Chardonnay-Viognier White (Leyda Valley),"This unusual blend of Riesling, Chardonnay and Viognier is toasty but also stalky smelling, with modest fruit aromas. The palate is plump and simple feeling, with chunky weight and salty flavors of roast corn and bland citrus. Oak and saline define the finish.",Michael Schachner,@wineschach
4073,4074,83,Apaltagua 2012 Estate Grown Rosé Carmenère (Central Valley),"Briny citrus and sulfuric match-stick aromas lead to an edgy but fresh palate. Flavors of dry citrus and generic tropical fruits finish with citric acidity and monotone juiciness. Overall, this is a tart, fresh cleanser.",Michael Schachner,@wineschach
4074,4075,83,The Original Dark Horse NV Big Red (California),"Soft, sugary sweet and simple, with cherry jam and chocolate flavors.",Anonymous,
4075,4076,83,Hermann Moser 2012 Rosi Mosi Red (Niederösterreich),Red fruit and citrus notes show through tight acidity on this slightly bitter wine touched with sulfur aromas. It's dry and sharp in style. Screwcap.,Roger Voss,@vossroger
4076,4077,83,Château des Tourtes 2011 Classic  (Blaye Côtes de Bordeaux),"This soapy, unfocused wine has tannins and red berry fruit but little structure. The fruit shows a green streak that will not improve.",Roger Voss,@vossroger
4077,4078,83,Mounts 2010 Estate Grown Malbec (Dry Creek Valley),"Too ripe, with prune, chocolate and raisin flavors that taste hot and sweet in high alcohol. With hard tannins, it could almost be a minor Port.",Anonymous,
4078,4079,83,Château Los Boldos 2012 Cuvée Tradition Chardonnay (Rapel Valley),"Light in color, light in aromas, light in flavor... that pretty much describes this decent but rudimentary Chardonnay. Airy pear aromas lead to a monotone, fresh palate with generic flavors of peach, melon and citrus. A pithy bitterness rises up on the modest finish.",Michael Schachner,@wineschach
4079,4080,83,Dogwood 2010 Sargentini Vineyard Zinfandel (Mendocino),This old-vine Zinfandel also has Carignane and Petite Sirah and is full of red fruit and decent spice but it falls flat under the weight of alcohol on the finish.,Virginie Boone,@vboone
4080,4081,83,La Clarine Farm 2012 Nr. 2 White (Sierra Foothills),"Hmm. A blend of 50% Sémillon from Amador County and 50% Viognier from El Dorado County that gives off much beyond a slight taste of Asian pear. Cloudy, it is also sharp and herbal.",Virginie Boone,@vboone
4081,4082,83,Carma 2010 Estate Grown Carmenère (Maule Valley),"Soft aromas of raisin and prune lack vitality and indicate what's to come. The wine feels flabby and awkward on the palate, with only light acidity pumping up generic flavors that include coffee, herbal berry and chocolate.",Michael Schachner,@wineschach
4082,4083,83,Concha y Toro 2011 Casillero del Diablo Reserva Chardonnay (Limarí Valley),"This is a round, creamy, soft Chardonnay with resiny aromas. A strange, forced oak flavor dominates the flavor profile, which includes spice more than fruit. On the finish, oak and resin are about all you get.",Michael Schachner,@wineschach
4083,4084,83,Domaine du Claouset 2011 Réserve  (Bordeaux Supérieur),"A hard and tannic wine, with too much dryness for pleasure. It's not likely to soften enough to balance out.",Roger Voss,@vossroger
4084,4085,83,Zinfandelic 2011 Old Vine Zinfandel (Sierra Foothills),"A dusty Amador County-dominant old-vine Zinfandel with plenty of spicy berry, mocha and licorice flavor. Packaged in a psychedelically inspired label, it'll go down easy on those late-night when listening to music is the best thing to do and plenty of barbecued meat is lying around.",Virginie Boone,@vboone
4085,4086,83,Quivira 2012 Fig Tree Vineyard Sauvignon Blanc (Dry Creek Valley),"Unripe green notes of leaves detract from this wine's enjoyment. It's crisp in acidity, with some pure Meyer lemon, lime and fig flavors, but that vegetal note is bothersome.",Anonymous,
4086,4087,93,Banfi 2011 Poggio alle Mura Riserva  (Brunello di Montalcino),"Aromas suggesting ripe plum, exotic spice, blue flower and a whiff of pipe tobacco take shape in the glass. The full-bodied palate doles out ripe black cherry, raspberry, vanilla and a hint of star anise while velvety tannins give it a polished feel. An espresso note signals the close. Drink 2018–2026.",Kerin O’Keefe,@kerinokeefe
4087,4088,93,Dolin 2014 Bien Nacido Vineyard Chardonnay (Santa Maria Valley),"This Malibu winery's bottling from the historic Bien Nacido vineyard is lush with lemon curd, buttered croissant and brown spice aromas. The palate is both plush and vibrant, its apple cream and poached pear favors enlivened with sea salt, lemon rind and slate accents. It's complex and awesome.",Matt Kettmann,@mattkettmann
4088,4089,93,Domdechant Werner 2015 Hochheim Domdechaney Erste Lage Trocken Riesling (Rheingau),"There's so much body and ripeness in this bold, dry-style Riesling, it's admittedly blousy, but irresistibly so. Voluptuous and alcoholic on the palate, it shows intensely concentrated peach and cantaloupe flavors, as well as a sensual, almost oily, mineral richness. It may not age for decades but offers plenty of hedonistic enjoyment through 2021.",Anna Lee C. Iijima,
4089,4090,93,Dr. H. Thanisch (Erben Müller-Burggraef) 2015 Bernkasteler Lay Auslese Riesling (Mosel),"Pristine orange blossom and tangerine hints turn riper and richer on the palate in this delicately honeyed Riesling. It's lively and deft in mouthfeel, with sweet yellow cherry and peach flavors that dart on the midpalate. A sun-filled yet gorgeously balanced wine, it's calibrated by scintillating acidity and a mineral sheen on the finish.",Anna Lee C. Iijima,
4090,4091,93,Fritz Haag 2015 Brauneberger Juffer Trocken GG Riesling (Mosel),"A whiff of smoked nuts lends savory complexity to bright tangerine, pineapple and white floral aromas in this gorgeously steel-toned wine. Dry and minera, yet silken in texture, it hits the palate with staccato notes of crunchy stone fruit, lemon and lime. It's bracing and brisk now but should meld beautifully over the next decade.",Anna Lee C. Iijima,
4091,4092,93,Giornata 2013 Luna Matta Vineyard Nebbiolo (Paso Robles),"Vibrant red plum and cherry aromas meet hibiscus, cinnamon and a touch of inviting cotton candy on the nose of this bottling. The palate brims with cinnamon spice, baked strawberry and red plum, further enhanced by licorice and ginger snap flavors. The structure is elegantly grippy.",Matt Kettmann,@mattkettmann
4092,4093,93,Grimm's Bluff 2014 Estate Petit Verdot (Happy Canyon of Santa Barbara),"Lush caramel, crème de cassis and crushed black rock aromas are backed by a structure that's apparent even from the nose in this bottling from winemaker Paul Lato. Soft and plush on the palate, it's full of black fruit, peppercorn spice and charcoal flavors, bound by fluffy tannins and measured acidity.",Matt Kettmann,@mattkettmann
4093,4094,92,Chalk Hill 2014 Wright Creek Chardonnay (Chalk Hill),"From an estate vineyard planted partially to the Robert Young clone, this full-bodied wine opens with doughy biscuit and oak aromas, building towards richer notes of apple and honey. Dark in color despite its youth, it shows high-toned stony notes of minerality on the palate.",Virginie Boone,@vboone
4094,4095,92,Cantina Produttori San Michele Appiano 2015 Schulthauser Pinot Bianco (Alto Adige),"Crisp and delicious, this elegant wine delivers aromas and flavors of green apple, crushed stone, ripe pear and a hint of pastry cream. Bright acidity lifts the creamy flavors while a tangerine note gives it a clean mouthwatering finish.",Kerin O’Keefe,@kerinokeefe
4095,4096,92,Casa Agricola Alexandre Relvas 2015 Herdade de São Miguel Escolha dos Enólogos Red (Alentejano),"A blend of the winemakers' two favorite vats, this is intended to give the best impression of the vintage. It's bold, ripe and full of dark fruit and big tannins. With nine months of barrel age, it has filled out and will be ready to drink from 2019.",Roger Voss,@vossroger
4096,4097,92,Castello Romitorio 2012 Filo di Seta  (Brunello di Montalcino),"Aromas of red berry, espresso, underbrush and French oak lead the nose along with a balsamic note. The bright, sleek palate evokes wild cherry, crushed raspberry, pipe tobacco and licorice alongside tightly knit, fine-grained tannins that lend refined support. Drink 2020–2028.",Kerin O’Keefe,@kerinokeefe
4097,4098,92,Château Lamartine 2014 Expression Malbec-Tannat (Cahors),"The combination of two naturally tannic grapes has inevitably produced a tannic wine. But the ripe layer of rich black fruits acts as a foil to the density of the wine and gives it both balance and a good future. This is a serious wine that needs to age, so drink from 2020.",Roger Voss,@vossroger
4098,4099,92,Cuda Ridge Wines 2013 Reserve Collection Cabernet Sauvignon (Livermore Valley),"Fascinating earthy, spicy aromas and flavors give an extra dimension to this full-bodied and richly textured wine. New leather, cardamom, and cumin scents infuse the aroma, while ripe but not sweet black currant, dark cherry and clove flavors flood the palate. It's rich enough to enjoy now but will be best after 2019.",Jim Gordon,@gordone_cellars
4099,4100,92,Domaine Bousquet 2015 Grande Reserve Malbec (Tupungato),"Tarry aromas of blackberry and freshly applied asphalt set up a full-bodied palate with sandpaper tannins. Blackberry and toast flavors taste a little burnt, while an oak-based blackened element is present on a stout finish. Drink this blocky and lusty Malbec through 2023.",Michael Schachner,@wineschach
4100,4101,92,Domdechant Werner 2015 Hochheimer Kabinett Riesling (Rheingau),"A shower of crushed minerals lends transparency to this fleshy dry Riesling. It's bold in body and alcohol, heaving lusciously with ripe tangerine, peach and nectarine flavors, but zesty acidity adds levity. The finish is warm and smoky but long and languorous.",Anna Lee C. Iijima,
4101,4102,92,Eric Kent 2014 Small Town Pinot Noir (Sonoma Coast),"Rich in rose scents, this is an extremely light, crisply textured wine, with subtle pomegranate, tart cherry and orange flavors. Silky and delicate, it offers a wealth of acidity.",Virginie Boone,@vboone
4102,4103,92,Georges Vigouroux 2014 Château de Mercuès Malbec (Cahors),"The flagship estate of the Vigouroux family, this medieval castle on a hill is also a hotel. The vineyard produces powerful wines like this, packed with dusty tannins and with dark berry fruits and fine concentration. It is a wine to age, drink from 2020.",Roger Voss,@vossroger
4103,4104,92,Kaiken 2013 Mai Malbec (Mendoza),"Black in color, this smells of olive, eucalyptus and tarry berry, much like you'd get from a high-end Chilean red. An extracted massive palate is dense and layered, while this tastes of salty black plum and black currant. A toasty smooth finish with mild tannins is herbal and balsamic. Drink through 2021.",Michael Schachner,@wineschach
4104,4105,92,ONX 2014 Crux Red (Templeton Gap District),"Dark purple fruit is upstaged by the strong umami character on the nose of this blend of 41% Syrah, 32% Mourvèdre and 27% Grenache, reminiscent of soy, shiitake mushroom and beef jerky. There is a rustic and gamy quality to the dark berry-laced palate, with meat, leather and spice qualities, lifted by a touch of licorice.",Matt Kettmann,@mattkettmann
4105,4106,92,Psagot 2014 Peak Red,"Aromas of blackberry, strawberry and chocolate open for flavors of blackberry, Red Delicious apple peel, aniseed and vanilla. This wine is harmonious on the palate with understated tannins and breakthrough notes of summer peach on the finish.",Mike DeSimone,@worldwineguys
4106,4107,92,Puramun 2014 Reserva Malbec (Valle de Uco),"Potent, inky aromas of blackberry and licorice reflect this beefy Malbec's opaque black color. In the mouth, this is energetic and not just heavy and extracted. Lightly salted black-fruit flavors are lifted by acidity, while this finishes deep and strong. Drink through 2022.",Michael Schachner,@wineschach
4107,4108,92,Quinta do Portal 2014 Reserva Red (Douro),"This reserve wine is a ripe and smooth blend of Touriga Nacional, Tinta Roriz and Touriga Franca. New wood aging for nine months has brought out the ripeness of the fruit and added a spicy edge. Still young, its black fruit and structure need further developing. Drink from 2019.",Roger Voss,@vossroger
4108,4109,90,Château Andron Blanquet 2009 Barrel sample  (Saint-Estèphe),"89-91 Barrel sample. Rich and sweet, with fresh tannins and solid fruit flavors. The wine is dark, but has vivid acidity.",Roger Voss,@vossroger
4109,4110,90,Château Bel-Air Ouÿ 2009 Barrel sample  (Saint-Émilion),"89-91 Barrel sample. Owned by Jean-Luc Thunevin of Valandraud, this is an intense - maybe too intense - spicy wine, packed with new wood. There is a juicy character, but structure dominates.",Roger Voss,@vossroger
4110,4111,90,Château d'Issan 2009 Barrel sample  (Margaux),"89-91 Barrel sample. The wine has a rustic edge, over very juicy fruit, very blackcurrant, and with a high acid content. It feels light.",Roger Voss,@vossroger
4111,4112,90,Château du Domaine de l'Eglise 2009 Barrel sample  (Pomerol),"89-91 Barrel sample. Solid, but still fresh wine, good acidity, some sweetness, but more pure blackcurrant and berry fruits.",Roger Voss,@vossroger
4112,4113,90,Château Haut-Bergey 2009 Barrel sample  (Pessac-Léognan),"89-91 Barrel sample. A definite burnt character on the nose, but the fruit has proper richness, the wood perhaps showing too much high toast. The freshness should be kept and not lost in the wood.",Roger Voss,@vossroger
4113,4114,90,Château la Tour de Pin Figeac 2009 Barrel sample  (Saint-Émilion),"89-91 Barrel sample. Sweet fruit, soft tannins, ripe wine. The structure takes a while to show with dusty, almost velvet tannins.",Roger Voss,@vossroger
4114,4115,90,Château Puy-Blanquet 2009 Barrel sample  (Saint-Émilion),"89-91 Barrel sample. Powerful, but smooth, with ripe milk chocolate and sweetness. Very velvet in texture, with just enough acidity.",Roger Voss,@vossroger
4115,4116,90,Le Nardian 2009 Barrel sample  (Bordeaux Blanc),"89-91 Barrel sample. Very fresh. With just a light touch of wood spice, and a great burst of citrus, grapefruit, a little lychee from Muscadelle.",Roger Voss,@vossroger
4116,4117,90,Château Bonalgue 2009 Barrel sample  (Pomerol),"89-91 Barrel sample. A solid chunky sweet wine, with lots of ripe bright fruits, and vivid blackcurrants. With this structure it will age.",Roger Voss,@vossroger
4117,4118,90,Château Bouscaut 2009 Barrel sample  (Pessac-Léognan),"89-91 Barrel sample. A full-bodied wine that lacks some definition. It has fatness, weight, but the freshness is not all there.",Roger Voss,@vossroger
4118,4119,90,Château Grand Barrail Lamarzelle Figeac 2009 Barrel sample  (Saint-Émilion),"89-91 Barrel sample. A smooth wine, almost velvet, very polished. The fruits are ripe, sweet, very soft.",Roger Voss,@vossroger
4119,4120,89,Château Latour-Martillac 2009 Barrel sample  (Pessac-Léognan),"88-90 Barrel sample. Very ripe fruit aromas, the fruit ripe, full of sweetness, showing signs of super maturity.",Roger Voss,@vossroger
4120,4121,89,Château Haut-Carles 2009 Barrel sample  (Fronsac),"88-90 Barrel sample. Light, ripe, fresh with pleasant acidity and the freshest of blackcurrants.",Roger Voss,@vossroger
4121,4122,89,Château Haut-Simard 2009 Barrel sample  (Saint-Émilion),"88-90 Barrel sample. This is rich, with sweet fruits and delicious sweet plum flavors, good tannins, a lovely juicy character.",Roger Voss,@vossroger
4122,4123,89,Château Malescot Saint-Exupery 2009 Barrel sample  (Margaux),"88-90 Barrel sample. Packed, fruity wine, dominated by very fresh acidity. The wine is crisp as much as rich, maybe on the lean side.",Roger Voss,@vossroger
4123,4124,89,Château Montviel 2009 Barrel sample  (Pomerol),"88-90 Barrel sample. Ripe and sweet, plush fruit, balanced sufficiently with acidity and some firm tannic character. The wine is chunky, but there is balance.",Roger Voss,@vossroger
4124,4125,89,Château Plince 2009 Barrel sample  (Pomerol),"88-90 Barrel sample. Some spice here, from the rich Merlot. The wine has ripe blackberry, sweet fruits as well as concentrated tannins.",Roger Voss,@vossroger
4125,4126,89,Château Anthonic 2009 Barrel sample  (Moulis-en-Médoc),"88-90 Barrel sample. Very soft, rounded wine, the tannins a mere hint as the fruit rolls forward. Fine, juicy spice.",Roger Voss,@vossroger
4126,4127,89,Château Bastor-Lamontagne 2009 Barrel sample  (Sauternes),"88-90 Barrel sample. Very apply wine, with light botrytis character, some spice and very fresh fruit. It is bright and almost crisp.",Roger Voss,@vossroger
4127,4128,89,Château de Lamarque 2009 Barrel sample  (Haut-Médoc),"88-90 Barrel sample. There is a high level of new wood, toast that dominates both the aroma and the flavors. It gives the wine a hard-edged feel at this stage.",Roger Voss,@vossroger
4128,4129,89,Château Lafon-Rochet 2009 Barrel sample  (Saint-Estèphe),"88-90 Barrel sample. Sweet vanilla aroma, fruit that is ripe, soft, fleshy. This seems to have suffered from super-mature, fruit, although a final juiciness does help.",Roger Voss,@vossroger
4129,4130,89,Château Teyssier 2009 Barrel sample  (Saint-Émilion),"88-90 Barrel sample. Dark bitter chocolate coated wine, soft in texture, but with a good stalky chewy edge. Final flavors are of cedar, new wood and spice.",Roger Voss,@vossroger
4130,4131,89,Marojallia 2009 Barrel sample  (Margaux),"88-90 Barrel sample. A hugely extracted wine, very dark and tannic, solid, spicy wood.",Roger Voss,@vossroger
4131,4132,89,Château Beaumont 2009 Barrel sample  (Haut-Médoc),"88-90 Barrel sample. Lots of spiced wood, with sweet blackberry fruits. The wine is initially soft, but the tannins do kick in. The fruit finally has great freshness",Roger Voss,@vossroger
4132,4133,89,Zanoni 2007 Zovo  (Amarone della Valpolicella),"On the bold and powerful side, this deals lush flavors of dark chocolate, chewy cherry, leather, tobacco and barbecue smoke. Packed with intensity and soft richness, it also delivers a fine point of fresh acidity on the finish.",Anonymous,
4133,4134,89,Zocker 2011 Paragon Vineyard Grüner Veltliner (Edna Valley),"This tastes sweeter than the very fine 2009 and 2010, but that may be because the fruit is so powerfully intense and pure. It has flavors of ripe tangerines, limes, peaches and apples, made racy by its acidity. No oak has been applied, so the wine tastes fresh.",Anonymous,
4134,4135,89,Gratallops 2007 Partida Bellvisos Red (Priorat),"Compared to the excellent 2006, this wine is heavier, riper and jammier at every check point. The nose is baked and raisiny, while the palate feels saturated to the extreme and gritty as well. The primary flavors run toward baked plum and blackberry, while licorice, leather and raisin notes carry the finish. Give this lots of air after opening, about an hour or so.",Michael Schachner,@wineschach
4135,4136,89,Oakville East 2009 Exposure Cabernet Sauvignon (Oakville),"This is hard to appreciate now because the fruit is so primary and upfront—like a heaping spoon of black raspberry jam—and also because the tannins are thick and tough. There's something almost rustic about it. On the other hand, six years or more in the cellar could reward. Made from Cabernet Sauvignon and Cabernet Franc, with a splash of Petit Verdot.",Anonymous,
4136,4137,89,Standing Stone 2010 Vidal Ice Vidal Blanc (Finger Lakes),"Intensely aromatic with notes of orange blossom, honeysuckle and candied orange peel, this balances ripe tropical fruit and creamy butterscotch flavors with a shower of lemonade acidity. Made using grapes that were frozen post-harvest.",Anna Lee C. Iijima,
4137,4138,89,Atalaya 2010 La Atalaya Garnacha-Monastrell (Almansa),"Big, smoky and concentrated on the nose, this has a ton of black fruit and char notes. This is mouth-filling, deep and powerful stuff, with a potent mash of baked blackberry, molasses and barbecue sauce filling in the flavor profile. It finishes long and roasted, with savory oak and saucy spice flavors. A blend of 85% Garnacha and 15% Monastrell.",Michael Schachner,@wineschach
4138,4139,89,La Chablisienne 2010 Les Vénérables  (Chablis),"While the wine seems at first rich, it then shows a tautly acidic character that gives a refreshing character to the roundness. That steely acidity is what defines the tight, crisp finish.",Roger Voss,@vossroger
4139,4140,89,Le Bertarole 2008 Podere Le Marognole  (Amarone della Valpolicella Classico),"Modern and oak driven, this has aromas of toasted almond, chocolate, tobacco and crushed clove. The fruit nuances tend to be on the dark and jammy side. It gains focus on the palate thanks to its firm structure and bright cola and licorice endnotes.",Anonymous,
4140,4141,89,Louis Latour 2010 En Chevret Premier Cru  (Volnay),"Rich, round and concentrated, this is developing fast. The acidity is already comfortably embedded in the ripe red-berry fruit..",Roger Voss,@vossroger
4141,4142,89,Gino Fasoli 2007 Alteo  (Amarone della Valpolicella),"The 17.5% alcohol is a bit much, but the burning effect is dampened by the mouthfeel's extraordinary thickness and richness. It's big and bold, with intense aromas of toasted nut, vanilla, chocolate fudge, blackberry jam and exotic spice.",Anonymous,
4142,4143,89,Giuseppe Campagnola 2008 Caterina Zardini Riserva  (Amarone della Valpolicella Classico),"Compared to past vintages, this edition of Caterina Zardini Riserva shows slightly pungent aromas of red apple, plum, cherry and cassis. The bright fruit gives the wine support and endurance, which is further reinforced by the soft, velvety mouthfeel",Anonymous,
4143,4144,89,Tedeschi 2010 Capitel San Rocco  (Valpolicella Superiore Ripasso),"Tedeschi is one of the benchmark producers of Valpolicella. This wine is bursting with fresh fruit intensity and lush background notes of spice, leather and moist pipe tobacco.",Anonymous,
4144,4145,89,Blue Plate 2011 Dry Chenin Blanc (Clarksburg),"This bottling is even better than the 2010: drier, crisper and more elegant, without a trace of sweetness. It's balanced, with a long finish that should pair well with any kind of spiced food.",Virginie Boone,@vboone
4145,4146,89,Cesari 2010 Mara  (Valpolicella Superiore Ripasso),"This offers a slightly less formal and austere expression compared to Cesari's Bosan. Perfect for chicken or pork roast, this delivers fresh acidity beyond the tones of cherry, cola, leather and barbecue spice.",Anonymous,
4146,4147,89,Chandon NV Blanc de Noirs Sparkling (California),"While this bubbly is technically dry, it tastes sweetly infused with the essence of strawberries and vanilla. The mouthfeel is fine, with a gentle scouring of acidity and the slight sourness from its lees. Drink it now with almost anything, especially sushi.",Anonymous,
4147,4148,89,Degani 2009 La Rosta  (Amarone della Valpolicella Classico),"This shows sweet, plush fruit aromas, with background tones of leather and tobacco. By no means is this wine over the top, in fact, it shows a firm but elegant quality throughout.",Anonymous,
4148,4149,89,Domaine A. Machard de Gramont 2010 Les Damodes Premier Cru  (Nuits-St.-Georges),"For a Premier Cru, this is surprisingly open and ready. It has a light structure, offering delicious, forward, juicy fruit that has been rounded out by wood aging. With its ripe character, it will be ready to drink in a year.",Roger Voss,@vossroger
4149,4150,89,Domaine Vrignaud 2010 Les Champréaux  (Chablis),"A rich, yet finely structured wine, this is full of acidity and bright green and yellow fruits. It's delicious, mouth-filling and refreshing, touched by notes of wood and citrus, with a smooth, toasty finish.",Roger Voss,@vossroger
4150,4151,89,Ramón Bilbao 2008 Limited Edition Crianza  (Rioja),"This is leathery and earthy up front, with cherry and berry aromas that come with a flower accent. It feels snappy, alert and slightly citrusy, with raspberry, red plum and vanilla flavors. It's relatively short and choppy on the finish, but it's fresh, with the proper amount of oak.",Michael Schachner,@wineschach
4151,4152,87,Undurraga 2008 Sibaris Reserva Especial Cabernet Sauvignon (Maipo Valley),"A little murky and muddled on the nose, this has an earthy-berry aroma, with a hint of floral-based perfume. It offers acidity and solidity on the palate, which is backed by standard black-fruit flavors, with undertones of vanilla and raw oak. Very good, but it's a bit oaky.",Michael Schachner,@wineschach
4152,4153,87,Wait Cellars 2009 Devoto Garden Vineyard Pinot Noir (Green Valley),"This has flavors of cherry and blackberry jam, cola and spice. It's crisp in acidity and dry, as Pinot should be. This is direct and polished; it's not likely to get better with age, so drink now.",Anonymous,
4153,4154,87,Viña Requingua 2010 Toro de Piedra Reserva Cabernet Sauvignon (Colchagua Valley),"Solid blackberry, cassis and cola aromas are an invitation to enjoy this straightforward, well-made Cabernet that's lively and bouncy, with berry and black currant flavors that match the bouquet. Short on complexity but long on fruit.",Michael Schachner,@wineschach
4154,4155,87,Hug 2009 el Pape Red (Central Coast),"This Rhône-style blend of Grenache, Mourvèdre and Syrah has plenty of cherry and mocha deliciousness. It seems a bit sweet on the finish, so drink it with compatible foods, like bacon.",Anonymous,
4155,4156,87,Clos La Chance 2011 Estate Sauvignon Blanc (Central Coast),"There's lots of spicy richness in this slightly sweet Sauvignon Blanc. With zesty acidity, its flavors veer toward pineapples, limes, melons and vanilla. This should be versatile with all kinds of foods.",Anonymous,
4156,4157,87,Conway 2009 Bien Nacido Vineyard Chardonnay (Santa Barbara County),"This is very rich, ripe and oaky, but a little over the top, with strong flavors of buttered toast, caramel, orange jam and spice. An outgoing wine crafted in the popular style.",Anonymous,
4157,4158,87,Cornarea 2009 Cornarea  (Roero),"The bouquet offers intensity and character, with subtle accents of crème de cassis and toasted almond.",Anonymous,
4158,4159,87,Gerovassiliou 2007 Avaton Red (Epanomi),"This offers aromas and flavors of plum, savory spice and cigarbox, with an overall dry and focused character. A smoky spice note finishes the wine. Pair this with grilled lamb, pizza or steak.",Susan Kostrzewa,@suskostrzewa
4159,4160,87,Eagle Eye 2007 Alpha Wolf Vineyards Cabernet Sauvignon (Napa Valley),"The flavors of this Cabernet are enormously rich. Blackberry and blueberry jam, black currant, dark chocolate and cassis come in waves. Few wines on earth are this ripe. The issue is balance and complexity, both of which could be stronger. Drink over the next few years.",Anonymous,
4160,4161,87,Gård 2009 Lawrence Vineyards Don Isidro Red Cabernet Sauvignon-Syrah (Columbia Valley (WA)),"A popular 70% Cabernet Sauvignon and 30% Syrah blend, this sports a distinctive floral note, like a whiff of baby powder. Light cherry fruit anchors the core, remaining balanced throughout the medium finish.",Paul Gregutt,@paulgwine 
4161,4162,87,Germano Angelo 2008 Mondoca Dardi  (Barolo),"Ripe and concentrated, this has a thick, extracted appearance and abundant aromas of cherry liqueur and chocolate. There's a touch of sweet candied fruit on the finish.",Anonymous,
4162,4163,87,Giacomo Grimaldi 2008 Sotto Castello di Novello  (Barolo),"This wine opens with aromas of leather, old spice and candied fruit that seem past their prime. There's a sour note on the finish.",Anonymous,
4163,4164,87,VML 2011 Rosé of Pinot Noir Rosé (Russian River Valley),"This is a strongly flavored blush, packing a punch of raspberry, fig, sweet tea and rose flavors. It's dry and very crisp in acidity. Give it a chill and enjoy with salted, smoked meats, or a nice fish stew.",Anonymous,
4164,4165,87,Villa Sparina NV Brut Sparkling (Piedmont),"From the Gavi area of northern Italy, this light sparkler opens with dry aromas of pressed flower and citrus, with slightly softer tones of peach and melon to follow on the palate.",Anonymous,
4165,4166,87,Mony 2009 Reserve Dry Red Cabernet Sauvignon (Samson),"This medium-weight selection offers concentrated aromas and flavors of black currant and blackberry laced with accents of pepper and earthy spice. There's a bit of bite to the moderate tannins, while hints of tobacco leaf and cocoa nib spice up the finish.",Lauren Buzzeo,@laurbuzz
4166,4167,87,Pascal Jolivet 2010 Attitude Sauvignon Blanc (Val de Loire),"More fragrant than herbaceous, this is a rounded, creamy wine. It has creamed pear, apricot and ripe lime flavors to go with the smooth texture and finish.",Roger Voss,@vossroger
4167,4168,87,Pech Merle 2010 Treborce Zinfandel (Dry Creek Valley),"This has a powerful, briary character, with a spicy, high-alcohol kick. It erupts in the mouth, with flavors of wild berry, tobacco, cola, anise and white pepper that should pair well with equally spicy fare, preferably fatty meats and cheeses.",Anonymous,
4168,4169,87,Saintsbury 2009 Brown Ranch Chardonnay (Carneros),"This shows the dried herb character that often characterizes Napa Chardonnay, giving the pineapple and orange flavors an earthiness. It's very dry and crisp in acidity, but it ultimately trades opulence for elegance. Drink now.",Anonymous,
4169,4170,84,Lawer 2015 Rosé of Syrah (Knights Valley),"Entirely varietal, and given five months to gel in stainless steel, this is a dark copper-red wine that's noticeably earthy on the nose. Dry, woody and a touch sour in cherry and strawberry, it should be enjoyed chilled and with ceviche.",Virginie Boone,@vboone
4170,4171,84,Torres 2012 Escaleras de Empedrado Pinot Noir (Maule Valley),"Scattered aromas of horseradish, cotton candy and vinegar are all over the map but don't convey varietal character or purity. This new wine from terraced vineyards in deep, rural Maule feels clipped, with heavy tannins. Mixed berry flavors are bitter and rubbery, and the finish is grabby and awkward. This is a first release; suffice it to say it needs more work to justify its price.",Michael Schachner,@wineschach
4171,4172,84,Apaltagua 2015 Reserva Rosé (Maule Valley),"Super light in color, with aromas of grape skins, nectarine and briny seashell, this rosé from Carmenère feels highly citric and shearing. Sour-leaning flavors of tangerine and lemon finish with tang and enamel-peeling acidity.",Michael Schachner,@wineschach
4172,4173,84,Byington 2014 Ventana Vineyards Sauvignon Blanc (Monterey County),"Extremely grassy on the nose, this also shows lime juice and a skunky cannabis character that starts to blow off with time. The texture is racy on the palate, but the grassy component proves rather sour and one-dimensional.",Matt Kettmann,@mattkettmann
4173,4174,84,Ravoire et Fils 2015 Domaine des Bellugues Rosé (Mediterranée),"Named after the lightning bugs (bellugues means spark) that lived in the nearby woods, this wine is all fresh fruit and soft texture. There is a hint of caramel to go with the bright acidity and red currant fruits. The wine is a great apéritif style.",Roger Voss,@vossroger
4174,4175,84,3 Badge Beverage 2014 Gehricke Chardonnay (Russian River Valley),"This wine reminds one of salty apple pie, with big, drying oak and a whiff of potpourri. Given nine months in 25% new French oak, it holds on to that toasty taste through the finish, with a sprinkling of bitter lemon.",Virginie Boone,@vboone
4175,4176,84,Case Bianche 2015 Barone Beneventano del Bosco White (Sicilia),This blend of Inzolia and Chardonnay has subdued aromas of orchard fruit and nut. The simple palate offers lime and citrus zest alongside brisk acidity.,Kerin O’Keefe,@kerinokeefe
4176,4177,84,La Clarine Farm 2014 Jambalaia Rouge Red (Sierra Foothills),"This wine has potent berry, funky earth and herb aromas. Its fruity-floral flavors are tinged with a balsamic nip and a tart, rather tannic mouthfeel. To taste a little pioneering in terms of wine style, don't be alarmed at the sediment in the bottle.",Jim Gordon,@gordone_cellars
