wid,price,variety,designation,region,province,country,winery,encoded,color
4101,25.0,Riesling,Hochheimer Kabinett,nan,Rheingau,Germany,Domdechant Werner,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4102,50.0,Pinot Noir,Small Town,"Sonoma Coast, Sonoma",California,US,Eric Kent,"0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", red
4103,25.0,Malbec,Château de Mercuès,Cahors,Southwest France,France,Georges Vigouroux,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4104,75.0,Malbec,Mai,Mendoza,Mendoza Province,Argentina,Kaiken,"1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0", red
4105,54.0,Rhône-style Red Blend,Crux,"Templeton Gap District, Central Coast",California,US,ONX,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4106,50.0,Rhône-style Red Blend,Peak,nan,,,Psagot,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4107,29.0,Malbec,Reserva,Valle de Uco,Mendoza Province,Argentina,Puramun,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4108,28.0,Portuguese Red,Reserva,nan,Douro,Portugal,Quinta do Portal,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
4109,,Bordeaux-style Red Blend,Barrel sample,Saint-Estèphe,Bordeaux,France,Château Andron Blanquet,"0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4110,,Bordeaux-style Red Blend,Barrel sample,Saint-Émilion,Bordeaux,France,Château Bel-Air Ouÿ,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
4111,,Bordeaux-style Red Blend,Barrel sample,Margaux,Bordeaux,France,Château d'Issan,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0", red
4112,,Bordeaux-style Red Blend,Barrel sample,Pomerol,Bordeaux,France,Château du Domaine de l'Eglise,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4113,,Bordeaux-style White Blend,Barrel sample,Pessac-Léognan,Bordeaux,France,Château Haut-Bergey,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4114,,Bordeaux-style Red Blend,Barrel sample,Saint-Émilion,Bordeaux,France,Château la Tour de Pin Figeac,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4115,,Bordeaux-style Red Blend,Barrel sample,Saint-Émilion,Bordeaux,France,Château Puy-Blanquet,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
4116,,Bordeaux-style White Blend,Barrel sample,Bordeaux Blanc,Bordeaux,France,Le Nardian,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4117,,Bordeaux-style Red Blend,Barrel sample,Pomerol,Bordeaux,France,Château Bonalgue,"0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
4118,,Bordeaux-style White Blend,Barrel sample,Pessac-Léognan,Bordeaux,France,Château Bouscaut,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4119,,Bordeaux-style Red Blend,Barrel sample,Saint-Émilion,Bordeaux,France,Château Grand Barrail Lamarzelle Figeac,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
4120,,Bordeaux-style Red Blend,Barrel sample,Pessac-Léognan,Bordeaux,France,Château Latour-Martillac,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4121,,Bordeaux-style Red Blend,Barrel sample,Fronsac,Bordeaux,France,Château Haut-Carles,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4122,,Bordeaux-style Red Blend,Barrel sample,Saint-Émilion,Bordeaux,France,Château Haut-Simard,"0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
4123,,Bordeaux-style Red Blend,Barrel sample,Margaux,Bordeaux,France,Château Malescot Saint-Exupery,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4124,,Bordeaux-style Red Blend,Barrel sample,Pomerol,Bordeaux,France,Château Montviel,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
4125,,Bordeaux-style Red Blend,Barrel sample,Pomerol,Bordeaux,France,Château Plince,"0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4126,,Bordeaux-style Red Blend,Barrel sample,Moulis-en-Médoc,Bordeaux,France,Château Anthonic,"0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
4127,,Bordeaux-style White Blend,Barrel sample,Sauternes,Bordeaux,France,Château Bastor-Lamontagne,"0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0", white
4128,,Bordeaux-style Red Blend,Barrel sample,Haut-Médoc,Bordeaux,France,Château de Lamarque,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4129,,Bordeaux-style Red Blend,Barrel sample,Saint-Estèphe,Bordeaux,France,Château Lafon-Rochet,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4130,,Bordeaux-style Red Blend,Barrel sample,Saint-Émilion,Bordeaux,France,Château Teyssier,"0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4131,,Bordeaux-style Red Blend,Barrel sample,Margaux,Bordeaux,France,Marojallia,"0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0", red
4132,,Bordeaux-style Red Blend,Barrel sample,Haut-Médoc,Bordeaux,France,Château Beaumont,"0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4133,47.0,"Corvina, Rondinella, Molinara",Zovo,Amarone della Valpolicella,Veneto,Italy,Zanoni,"0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4134,20.0,Grüner Veltliner,Paragon Vineyard,"Edna Valley, Central Coast",California,US,Zocker,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4135,130.0,Red Blend,Partida Bellvisos,Priorat,Catalonia,Spain,Gratallops,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4136,95.0,Cabernet Sauvignon,Exposure,"Oakville, Napa",California,US,Oakville East,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4137,25.0,Vidal Blanc,Vidal Ice,"Finger Lakes, Finger Lakes",New York,US,Standing Stone,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4138,16.0,Garnacha-Monastrell,La Atalaya,Almansa,Central Spain,Spain,Atalaya,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4139,,Chardonnay,Les Vénérables,Chablis,Burgundy,France,La Chablisienne,"0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4140,35.0,"Corvina, Rondinella, Molinara",Podere Le Marognole,Amarone della Valpolicella Classico,Veneto,Italy,Le Bertarole,"0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0", red
4141,65.0,Pinot Noir,En Chevret Premier Cru,Volnay,Burgundy,France,Louis Latour,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4142,99.0,"Corvina, Rondinella, Molinara",Alteo,Amarone della Valpolicella,Veneto,Italy,Gino Fasoli,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4143,90.0,"Corvina, Rondinella, Molinara",Caterina Zardini Riserva,Amarone della Valpolicella Classico,Veneto,Italy,Giuseppe Campagnola,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", red
4144,28.0,"Corvina, Rondinella, Molinara",Capitel San Rocco,Valpolicella Superiore Ripasso,Veneto,Italy,Tedeschi,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4145,11.0,Chenin Blanc,Dry,"Clarksburg, Central Valley",California,US,Blue Plate,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", white
4146,25.0,"Corvina, Rondinella, Molinara",Mara,Valpolicella Superiore Ripasso,Veneto,Italy,Cesari,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4147,22.0,Sparkling Blend,Blanc de Noirs,"California, California Other",California,US,Chandon,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
4148,56.0,"Corvina, Rondinella, Molinara",La Rosta,Amarone della Valpolicella Classico,Veneto,Italy,Degani,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
4149,78.0,Pinot Noir,Les Damodes Premier Cru,Nuits-St.-Georges,Burgundy,France,Domaine A. Machard de Gramont,"0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0", red
4150,34.0,Chardonnay,Les Champréaux,Chablis,Burgundy,France,Domaine Vrignaud,"0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0", white
4151,17.0,Tempranillo,Limited Edition Crianza,Rioja,Northern Spain,Spain,Ramón Bilbao,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
4152,16.0,Cabernet Sauvignon,Sibaris Reserva Especial,nan,Maipo Valley,Chile,Undurraga,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4153,27.0,Pinot Noir,Devoto Garden Vineyard,"Green Valley, Sonoma",California,US,Wait Cellars,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4154,14.0,Cabernet Sauvignon,Toro de Piedra Reserva,nan,Colchagua Valley,Chile,Viña Requingua,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4155,30.0,Rhône-style Red Blend,el Pape,"Central Coast, Central Coast",California,US,Hug,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4156,11.0,Sauvignon Blanc,Estate,"Central Coast, Central Coast",California,US,Clos La Chance,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4157,40.0,Chardonnay,Bien Nacido Vineyard,"Santa Barbara County, Central Coast",California,US,Conway,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4158,30.0,Nebbiolo,Cornarea,Roero,Piedmont,Italy,Cornarea,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4159,55.0,Red Blend,Avaton,nan,Epanomi,Greece,Gerovassiliou,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4160,40.0,Cabernet Sauvignon,Alpha Wolf Vineyards,"Napa Valley, Napa",California,US,Eagle Eye,"1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4161,22.0,Cabernet Sauvignon-Syrah,Lawrence Vineyards Don Isidro Red,"Columbia Valley (WA), Columbia Valley",Washington,US,Gård,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4162,,Nebbiolo,Mondoca Dardi,Barolo,Piedmont,Italy,Germano Angelo,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4163,,Nebbiolo,Sotto Castello di Novello,Barolo,Piedmont,Italy,Giacomo Grimaldi,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4164,20.0,Rosé,Rosé of Pinot Noir,"Russian River Valley, Sonoma",California,US,VML,"0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
4165,30.0,Sparkling Blend,Brut,Piedmont,Piedmont,Italy,Villa Sparina,"0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white or rosé
4166,22.0,Cabernet Sauvignon,Reserve Dry Red,nan,Samson,Israel,Mony,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0", red
4167,,Sauvignon Blanc,Attitude,Val de Loire,Loire Valley,France,Pascal Jolivet,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white
4168,27.0,Zinfandel,Treborce,"Dry Creek Valley, Sonoma",California,US,Pech Merle,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4169,40.0,Chardonnay,Brown Ranch,"Carneros, Napa-Sonoma",California,US,Saintsbury,"0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4170,22.0,Syrah,Rosé of,"Knights Valley, Sonoma",California,US,Lawer,"0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0", red
4171,100.0,Pinot Noir,Escaleras de Empedrado,nan,Maule Valley,Chile,Torres,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4172,13.0,Rosé,Reserva,nan,Maule Valley,Chile,Apaltagua,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", pink
4173,26.0,Sauvignon Blanc,Ventana Vineyards,"Monterey County, Central Coast",California,US,Byington,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4174,10.0,Rosé,Domaine des Bellugues,Mediterranée,France Other,France,Ravoire et Fils,"0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0", pink
4175,30.0,Chardonnay,Gehricke,"Russian River Valley, Sonoma",California,US,3 Badge Beverage,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4176,,White Blend,Barone Beneventano del Bosco,Sicilia,Sicily & Sardinia,Italy,Case Bianche,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4177,20.0,Red Blend,Jambalaia Rouge,"Sierra Foothills, Sierra Foothills",California,US,La Clarine Farm,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
4178,16.0,Red Blend,Twins,nan,Colchagua Valley,Chile,Montes,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
4179,12.0,Malbec,Zee Original,Côtes du Lot,Southwest France,France,Pelvillain Frères,"1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4180,17.0,Chardonnay,Les Enfants Terribles,Pays d'Oc,Languedoc-Roussillon,France,Jean-Luc and Paul Aegerter,"0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0", white
4181,24.0,Zinfandel,Old Vine,Lake County,California,US,Jelly Jar,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0", red
4182,10.0,Muscat,Cuvée Prestige Medium Sweet,Pays d'Oc,Languedoc-Roussillon,France,La Croix du Pin,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4183,11.0,Barbera,Jamie Lynn Vineyard,"California, California Other",California,US,McManis,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
4184,12.0,Tempranillo,MW Quintos de la Tejera,Vino de la Tierra de Castilla,Central Spain,Spain,Montalvo Wilmot,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4185,15.0,Rosé,Cabane aux Oiseaux,Bordeaux Rosé,Bordeaux,France,Producta Vignobles,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
4186,17.0,Torrontés,Reserve,Salta,Other,Argentina,Nuna,"0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0", white
4187,12.0,Pinot Noir,Small Lot Blend,"California, California Other",California,US,Parducci,"0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4188,25.0,White Blend,Cortinie Bianco,Vigneti delle Dolomiti,Northeastern Italy,Italy,Peter Zemmer,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0", white
4189,25.0,Sauvignon,Gmajne,Collio,Northeastern Italy,Italy,Primosic,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4190,17.0,Bonarda,Reserve,Mendoza,Mendoza Province,Argentina,Nuna,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4191,20.0,Red Blend,Obsidian,Red Hills Lake County,California,US,Rock Wall,"1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0", red
4192,20.0,Pinot Gris,Estate Renovação,"Willamette Valley, Willamette Valley",Oregon,US,Coelho,"0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4193,16.0,Pinot Grigio,Amplius,Colli Orientali del Friuli,Northeastern Italy,Italy,Comelli,"0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4194,28.0,Sauvignon Blanc,Rutherford Runway Vineyard,"Rutherford, Napa",California,US,Corvalle,"0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4195,33.0,Tocai,Tai,Veneto,Veneto,Italy,De Stefani,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
4196,19.0,Cabernet Sauvignon,Vineyard Selection,"Paso Robles, Central Coast",California,US,Eberle,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4197,18.0,Pecorino,Casale Vecchio,Terre di Chieti,Central Italy,Italy,Farnese,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
4198,,Sauvignon Blanc,Fumées Blanches Réserve,Côtes de Gascogne,Southwest France,France,François Lurton,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", white
4199,,Manzoni,Manzoni Bianco,Colli Trevigiani,Northeastern Italy,Italy,Vettori,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
4200,14.0,Pinot Grigio,Colle Ara,Valdadige,Veneto,Italy,Albino Armani,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1", white
4201,24.0,Cortese,La Meirana,Gavi,Piedmont,Italy,Broglia,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4202,54.0,Pinot Noir,Brosseau Vineyard,"Chalone, Central Coast",California,US,Testarossa,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
4203,36.0,Pinot Noir,Bien Nacido Vineyard,"Santa Maria Valley, Central Coast",California,US,Kynsi,"1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0", red
4204,100.0,Bordeaux-style Red Blend,Reserve,"Diamond Mountain District, Napa",California,US,Von Strasser,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4205,54.0,Pinot Noir,Fritschen Vineyard,"Russian River Valley, Sonoma",California,US,Testarossa,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4206,69.0,Cabernet Sauvignon,Don Melchor,nan,Puente Alto,Chile,Concha y Toro,"0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", red
4207,42.0,Syrah,Chamisal Vineyards Califa,"Edna Valley, Central Coast",California,US,Domaine Alfred,"1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0", red
4208,,Sangiovese,Riserva Vigna del Sorbo,Chianti Classico,Tuscany,Italy,Fontodi,"0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0", red
4209,48.0,Pinot Noir,Longbow,"Russian River Valley, Sonoma",California,US,Arista,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4210,110.0,Syrah,Hickinbotham,Clarendon,South Australia,Australia,Clarendon Hills,"0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4211,35.0,Pinot Noir,Grand Detour,"Sonoma Coast, Sonoma",California,US,Landmark,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4212,50.0,Chardonnay,Heintz Vineyard,"Russian River Valley, Sonoma",California,US,Williams Selyem,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4213,75.0,Cabernet Sauvignon,Post Vineyard,"Diamond Mountain District, Napa",California,US,Von Strasser,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
4214,75.0,Cabernet Sauvignon,Rainin Vineyard,"Diamond Mountain District, Napa",California,US,Von Strasser,"1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4215,50.0,Shiraz,G.A.M.,McLaren Vale,South Australia,Australia,Mitolo,"1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4216,32.0,Portuguese Red,Duas Quintas Reserva,nan,Douro,Portugal,Ramos-Pinto,"1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
4217,45.0,Chardonnay,Sleepy Hollow Vineyard,"Monterey County, Central Coast",California,US,Talbott,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4218,56.0,Pinot Noir,Sanford & Benedict Vineyard,"Sta. Rita Hills, Central Coast",California,US,Testarossa,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
4219,37.0,Cabernet Sauvignon,Terrunyo Block: Las Terrazas,nan,Pirque,Chile,Concha y Toro,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", red
4220,27.0,Sangiovese,Riserva,Chianti Classico,Tuscany,Italy,Carpineto,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0", red
4221,40.0,Pinot Noir,Estate,"Green Valley, Sonoma",California,US,Iron Horse,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4222,40.0,Chardonnay,Cuvée Diana,"Sta. Rita Hills, Central Coast",California,US,Longoria,"0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0", white
4223,58.0,Pinot Noir,Pratt Vineyard,"Sonoma Coast, Sonoma",California,US,MacPhail,"0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0", red
4224,27.0,Cabernet Sauvignon,Starmont,"Napa Valley, Napa",California,US,Merryvale,"0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4225,50.0,Gewürztraminer,Saralee's Vineyard Cluster Select Late Harvest,"Russian River Valley, Sonoma",California,US,Williams Selyem,"0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4226,,Sangiovese,Riserva Doccio a Matteo,Chianti Classico,Tuscany,Italy,Caparsa,"0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", red
4227,165.0,Syrah,Piggott Range,Clarendon,South Australia,Australia,Clarendon Hills,"0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4228,35.0,Sauvignon Blanc,Griva Vineyard Late Harvest,"Arroyo Seco, Central Coast",California,US,Pessagno,"0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1", white
4229,15.0,White Blend,Massís del Garraf,Penedès,Catalonia,Spain,Terraprima,"0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
4230,18.0,Rhône-style Red Blend,Léa,Côtes du Rhône,Rhône Valley,France,Domaine de Givaudan,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0", red
4231,10.0,Chenin Blanc,Bergkelder Selection,nan,Western Cape,South Africa,Fleur Du Cap,"0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
4232,12.0,Chenin Blanc,Bush Vine,nan,Stellenbosch,South Africa,Winery of Good Hope,"0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0", white
4233,20.0,Red Blend,Wild Z,"Walla Walla Valley (WA), Columbia Valley",Washington,US,Zerba Cellars,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4234,14.0,Grüner Veltliner,Lust & Laune,nan,Niederösterreich,Austria,Zull,"0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1", white
4235,12.0,Grüner Veltliner,Hugo,nan,Niederösterreich,Austria,Markus Huber,"0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
4236,19.0,Rosé,Lagrein Rosato,Alto Adige,Northeastern Italy,Italy,Josef Weger,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", pink
4237,60.0,Pinot Noir,Psi Clone,"Sta. Rita Hills, Central Coast",California,US,Babcock,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4238,17.0,Rhône-style Red Blend,Signature,Côtes de Provence,Provence,France,Château de Brigue,"0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0", red
4239,,Rotgipfler,Auslese,nan,Thermenregion,Austria,Johanneshof Reinisch,"0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0", white
4240,50.0,Cabernet Sauvignon,Estate,"Napa Valley, Napa",California,US,Kuleto Estate,"1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4241,,Rosé,Estandon,Côtes de Provence,Provence,France,Les Maîtres Vignerons de Saint-Louis,"0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0", pink
4242,11.0,Chenin Blanc,Chenin No. 5,nan,Robertson,South Africa,Van Loveren,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
4243,16.0,Vermentino,Costamolino,Vermentino di Sardegna,Sicily & Sardinia,Italy,Argiolas,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4244,24.0,Merlot,Estate,"Columbia Valley (WA), Columbia Valley",Washington,US,Gamache,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0", red
4245,11.0,Grüner Veltliner,Ried Sandgrube,nan,Niederösterreich,Austria,Winzer Krems,"0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0", white
4246,28.0,Bordeaux-style White Blend,L'Atelier,"Napa Valley, Napa",California,US,De Sante,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
4247,11.0,Sauvignon Blanc,Altosur,Tupungato,Mendoza Province,Argentina,Finca Sophenia,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", white
4248,26.0,Malbec,Estate,"Wahluke Slope, Columbia Valley",Washington,US,Gilbert Cellars,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0", red
4249,18.0,Gewürztraminer,The Professors' Classic Dry,"Finger Lakes, Finger Lakes",New York,US,Cascata,"0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0", white
4250,18.0,Petite Sirah,Reserve,"Yolo County, Central Valley",California,US,Berryessa Gap,"0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0", red
